18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18801483-309	In the present study, we examined the effect of <mark style="background-color:lightblue;" id="3475">gliclazide</mark>, a second generation <mark style="background-color:lightblue;" id="104818">sulfonylurea</mark> with antioxidant properties, on <mark style="background-color:lightgreen;" id="O70156,P78380,P79391,Q9EQ09,Q9TTK7,Q9XTA8">LOX-1</mark> expression and <mark style="background-color:lightgreen;" id="O70156,P78380,P79391,Q9EQ09,Q9TTK7,Q9XTA8">LOX-1</mark> -mediated <mark style="background-color:lightgreen;" id="O18733,P14780,P41245,P41246,P50282,P52176">MMP-9</mark> expression and <mark style="background-color:yellow;" id="GO:0006915,biological_process">apoptosis</mark> in oxLDL-treated human aortic endothelial cells (HAECs).
18793341-327	Acylated <mark style="background-color:lightgreen;" id="Q6BEG6,Q6BEG7,Q9BDJ6,Q9BEF8,Q9EQX0,Q9GKY5,Q9QYH7,Q9UBU3">ghrelin</mark> and <mark style="background-color:lightgreen;" id="O35734,O77510,O77764,P01375,P04924,P13296,P19101,P23383,P23563,P29553,P33620,P36939,P48094,P51435,P51742,P51743,P59684,P59693,P59694,P59695,P79337,P79374,Q06599,Q19LH4,Q1G1A2,Q1WM27,Q2MH05,Q539C2,Q75N23,Q8HZD9,Q8JFG3,Q8MKG8,Q8WNR1,Q9BEA1">TNF</mark> α, <mark style="background-color:lightgreen;" id="P28172,P51526">IFN</mark> γ, IL-1β and <mark style="background-color:lightgreen;" id="O35736,P05231,P08505,P20607,P26892,P26893,P29455,P41323,P41683,P41693,P46650,P51494,P79341,Q25BC2,Q28319,Q28747,Q28819,Q2MH06,Q5I6E3,Q6V919,Q865W7,Q865X6,Q8MKH0,Q95181,Q9MZR1,Q9XT80">IL-6</mark> were measured with <mark style="background-color:lightblue;" id="636403">bioplex</mark>.
18793351-330	Inhibition of <mark style="background-color:yellow;" id="GO:0006914,biological_process">autophagy</mark> by treating rats with <mark style="background-color:lightblue;" id="312145">Wortmannin</mark> (15 microg/kg; intraperitoneally) abolished the ischaemic adaptation-induced induction of <mark style="background-color:lightgreen;" id="P82160">LC3</mark> -II, <mark style="background-color:lightgreen;" id="O88597,Q14457,Q4A1L4,Q4A1L5">Beclin-1</mark> , <mark style="background-color:lightgreen;" id="Q60739,Q99933">BAG-1</mark> and cardioprotection.
18752414-337	In addition, we used PET to evaluate the striatal <mark style="background-color:lightblue;" id="681">dopamine</mark> transporter availability ( <mark style="background-color:lightgreen;" id="P13483,P23977,P27922,Q01959,Q03614,Q61327,Q9GJT6">DAT</mark> ) with [(11)C]d-threo-<mark style="background-color:lightblue;" id="4158">methylphenidate</mark> in the patient group.
18801573-339	It could results from the fact that phenolic compounds (<mark style="background-color:lightblue;" id="444567">PhC</mark>), which could be also substrates for different <mark style="background-color:lightgreen;" id="P15984,P16147,P84714">peroxidases</mark> , were the first line of defence against metal stress.
18777013-349	Near-infrared fluorescence detection of <mark style="background-color:lightblue;" id="5957">ATP</mark>-<mark style="background-color:lightblue;" id="253,171548">biotin</mark>-mediated <mark style="background-color:lightgreen;" id="O55778,O57285,P03421,P03422,P03520,P04859,P04860,P04877,P04878,P04879,P04880,P06162,P06163,P06747,P06940,P11208,P12579,P14156,P14251,P14252,P15198,P16072,P16073,P16286,P16380,P16595,P19717,P21299,P21738,P22044,P22363,P23055,P23056,P24567,P24698,P26033,P26668,P28054,P32530,P32531,P32532,P33454,P35939,P35945,P35974,P60166,P69479,P69480,Q00793,Q01769,Q03335,Q06427,Q83956,Q86606,Q9DUE2,Q9IK91,Q9WS39">phosphoprotein</mark> labeling.
18777014-352	Wheat germ <mark style="background-color:lightgreen;" id="Q7M4U7">lipase</mark> had a high activity and enantioselectivity only in n-hexane with a high initial water activity (alpha(w) = 0.97), especially with <mark style="background-color:lightblue;" id="7409">1-phenylethanol</mark> (C 32%, E &gt; 200).
18785212-354	Elevated amounts of <mark style="background-color:lightgreen;" id="P00558,P00559,P00560,P29405,P29407,P29408,P41757,P46273,P50310,Q3T0P6,Q5NVB5,Q60HD8,Q6BLA0,Q6FKY1,Q757Q0,Q7SIB7,Q7ZA46">PGK1</mark> , one of the <mark style="background-color:lightblue;" id="5957">ATP</mark>-generating reactions of <mark style="background-color:yellow;" id="GO:0006096,biological_process">glycolysis</mark> , in wood frog brain during freezing would enhance the glycolytic capacity of the organ and support the maintenance of cellular energetics under the ischemic conditions of the frozen state.
18752468-361	Associated with the mitochondrial permeabilization, PdC also induced the release of <mark style="background-color:lightgreen;" id="O07091,O13393,O22642,O93863,P00002,P00003,P00004,P00007,P00008,P00011,P00012,P00013,P00014,P00017,P00018,P00019,P00020,P00021,P00022,P00024,P00025,P00027,P00028,P00029,P00030,P00031,P00032,P00035,P00036,P00037,P00038,P00039,P00040,P00041,P00042,P00043,P00046,P00047,P00048,P00049,P00051,P00052,P00053,P00054,P00055,P00056,P00057,P00058,P00059,P00060,P00061,P00062,P00063,P00064,P00065,P00066,P00067,P00068,P00069,P00070,P00071,P00072,P00073,P00074,P00075,P00076,P00077,P00078,P00079,P12831,P15451,P18822,P19681,P19974,P21665,P22342,P25400,P29380,P32556,P38091,P53698,P56205,P59218,P62772,P62773,P62894,P62895,P62896,P67881,P67882,P68096,P68097,P68098,P68099,P68100,P68517,P68518,P68519,P81280,P81459,P99998,P99999,Q41346,Q4HVX7,Q52V08,Q52V09,Q52V10,Q5RFH4,Q640U4,Q6C9Q0,Q6IQM2,Q6Q4H8,Q6QLW4,Q6WUX8,Q753F4,Q7YR71,Q96VP3">cytochrome c</mark> , which is sensitive to inhibition by <mark style="background-color:lightblue;" id="439352">DTT</mark>.
18777087-374	The results suggest that modulation of matrix <mark style="background-color:lightgreen;" id="O41798,O89290,O89940,O91080,O93215,P03311,P03353,P03355,P03356,P03362,P03363,P03366,P03367,P03369,P03370,P04023,P04024,P04323,P04584,P04585,P04587,P04588,P04589,P05959,P05960,P05961,P05962,P07570,P0C210,P0C211,P10210,P10265,P10270,P10271,P10272,P10273,P10274,P10394,P10978,P11227,P11365,P12451,P12497,P12498,P12499,P14074,P14078,P15833,P16046,P16423,P16901,P17757,P18042,P18096,P18802,P19028,P19199,P19560,P19561,P20825,P20875,P20876,P20892,P21407,P21414,P24107,P24740,P26808,P26809,P26810,P27502,P28936,P31822,P35956,P35963,P51518,P63119,P63120,P63121,P63122,P63123,P63124,P63125,P63127,P63128,P63129,P63131,P84454,Q09SZ9,Q0R5R2,Q0R5R3,Q1A249,Q1A267,Q4U0X6,Q73368,Q74120,Q75002,Q76634,Q77373,Q79666,Q89928,Q8AII1,Q8I7P9,Q9IDV9,Q9Q720,Q9QBY3,Q9QBZ1,Q9QBZ5,Q9QSR3,Q9WC54,Q9WC63,Q9Y6I0">proteases</mark> , oxidants, cytokines, and NOSs with <mark style="background-color:lightblue;" id="656629">omapatrilat</mark> and <mark style="background-color:lightblue;" id="2541">candesartan</mark> contribute to reversal of adverse <mark style="background-color:yellow;" id="GO:0005581,cellular_component">collagen</mark> and <mark style="background-color:lightgreen;" id="P19987">LV</mark> remodeling and attenuation of <mark style="background-color:lightgreen;" id="P19987">LV</mark> dysfunction during healing after RMI.
18777088-375	We recently reported <mark style="background-color:lightblue;" id="778">homocysteine</mark> ( <mark style="background-color:lightgreen;" id="P39442,Q57142">Hcy</mark> )-induced <mark style="background-color:lightgreen;" id="P29323">ERK</mark> - <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> was suppressed by pertussis toxin (PTX), which suggested the involvement of <mark style="background-color:yellow;" id="GO:0004930,molecular_function">GPCRs</mark> in initiating signal <mark style="background-color:yellow;" id="GO:0009293,biological_process">transduction</mark> .
18804908-377	<mark style="background-color:lightblue;" id="18897,439213,441477,445621,45933887">Glucosamine</mark> is an effective chemo-sensitizer via <mark style="background-color:lightgreen;" id="P08587,P21980,P21981,P51176,P52181,Q01841">transglutaminase 2</mark> inhibition.
18804908-379	<mark style="background-color:lightblue;" id="18897,439213,441477,445621,45933887">Glucosamine</mark> also recovered the depletion of <mark style="background-color:lightgreen;" id="P25963,Q08353,Q63746,Q91974,Q9Z1E3">I-kappaBalpha</mark> via <mark style="background-color:lightgreen;" id="P40746,P81453,Q05187,Q819L3,Q81MS1,Q8GR90,Q9K5W7">TGase</mark> 2 inhibition, which resulted in a decrease of NF-kappaB activity in EcR293/TG cells.
18801682-383	Following <mark style="background-color:lightblue;" id="712">formalin</mark> injection, <mark style="background-color:lightgreen;" id="P55926,P78348,Q7T1N4">ASIC1</mark> (-/-) and <mark style="background-color:lightgreen;" id="Q16515">ASIC2</mark> (-/-), but not <mark style="background-color:lightgreen;" id="O35240,Q6X1Y6,Q9UHC3">ASIC3</mark> (-/-) or <mark style="background-color:lightgreen;" id="Q697L1,Q8NER1">TRPV1</mark> (-/-), mice showed enhanced pain <mark style="background-color:yellow;" id="GO:0007610,biological_process">behaviour</mark> , predominantly in the second phase of the test.
18768916-385	Considering the post-cAMP sites of HA action, it is shown herein that HA markedly inhibited db-cAMP-stimulated steroidogenic acute regulatory (STAR) protein expression, as well as steps catalyzed by P450-dependent enzymes, mainly the conversion of <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> to <mark style="background-color:lightblue;" id="8955">pregnenolone</mark> by <mark style="background-color:lightgreen;" id="O46515,P00189,P05108,P10612,P14137,P79153,P79202,Q07217,Q28827,Q2XV99,Q92045,Q9EPT4,Q9QZ82">cholesterol side-chain cleavage enzyme</mark> ( <mark style="background-color:lightgreen;" id="P05108,Q2XV99,Q9EPT4">CYP11A</mark> ).
18777117-392	Association between <mark style="background-color:lightblue;" id="107487">Val/Leu</mark>(247) polymorphism of <mark style="background-color:lightgreen;" id="P02749,P17690,P26644,P33703,Q01339,Q95LB0">apolipoprotein H</mark> and cerebral infarction in a Chinese population.
18777117-393	The purpose of this study was to identify associations between the <mark style="background-color:lightblue;" id="107487">Val/Leu</mark>(247) polymorphism of <mark style="background-color:lightgreen;" id="P02749,P17690,P26644,P33703,Q01339,Q95LB0">apoH</mark> gene and CI in a Chinese cohort.
18812209-396	<mark style="background-color:lightgreen;" id="P01015,P01016,P01017,P01019,P11859,P20757,P67885,P67886,Q9GLN8,Q9GLP6,Q9TSZ0">Angiotensin II</mark> ( <mark style="background-color:lightgreen;" id="P01015,P01016,P01017,P01019,P11859,P20757,P67885,P67886,Q9GLN8,Q9GLP6,Q9TSZ0">Ang II</mark> ) is the key <mark style="background-color:lightgreen;" id="P81626">peptide hormone</mark> in the renin- <mark style="background-color:lightgreen;" id="Q10757">angiotensin</mark> -<mark style="background-color:lightblue;" id="5839">aldosterone</mark> system (RAAS).
18752565-399	Toll-like receptor 4 ( <mark style="background-color:lightgreen;" id="P23799">TLR</mark> -4)/myeloid differentiation <mark style="background-color:lightgreen;" id="P03548,P03549,P03550,P05397,P09521,P19818,Q00965,Q01087,Q02966">protein-2</mark> complex ligation by <mark style="background-color:lightblue;" id="11970143">lipopolysaccharide</mark> induces production of pro-inflammatory cytokines and co-stimulatory molecules on antigen presenting cells.
18777160-404	Possible <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> site for the substrate, prostaglandin H(2) (<mark style="background-color:lightblue;" id="445049">PGH(2</mark>)), was identified by systematically probing the refined molecular structure of <mark style="background-color:lightgreen;" id="Q9JM51">mPGES-1</mark> .
18785206-418	<mark style="background-color:lightgreen;" id="Q07343">PDE4B</mark> is also important in the regulation of <mark style="background-color:lightblue;" id="6076">cAMP</mark> signaling, a second messenger implicated in <mark style="background-color:yellow;" id="GO:0007612,biological_process">learning</mark> , <mark style="background-color:yellow;" id="GO:0007613,biological_process">memory</mark> , and mood.
18719894-435	Ameliorating prefrontal cortical dysfunction in mental illness: inhibition of phosphotidyl <mark style="background-color:lightblue;" id="892">inositol</mark>- <mark style="background-color:lightgreen;" id="P13678,Q25378">protein kinase C</mark> signaling.
18719894-436	DISCUSSION: Recent genetic and biochemical studies have also linked these illnesses to disinhibition of phosphotidyl <mark style="background-color:lightblue;" id="892">inositol</mark>- <mark style="background-color:lightgreen;" id="P13678,Q25378">protein kinase C</mark> signaling.
18719894-437	Animal studies have shown that high levels of phosphotidyl <mark style="background-color:lightblue;" id="892">inositol</mark>- <mark style="background-color:lightgreen;" id="P13678,Q25378">protein kinase C</mark> signaling in the <mark style="background-color:lightgreen;" id="P27918,Q5RBP8,Q64181">PFC</mark> markedly impair <mark style="background-color:lightgreen;" id="P27918,Q5RBP8,Q64181">PFC</mark> function at the behavioral and cellular levels.
18793654-448	Mutations within the <mark style="background-color:yellow;" id="GO:0016594,molecular_function">glycine-binding</mark> site of the GlyR <mark style="background-color:lightgreen;" id="Q08398">alpha1</mark> subunit reduced the inhibitory potency of Cu2+ and led to an up to 4-fold potentiation of <mark style="background-color:lightblue;" id="750">glycine</mark>-elicited currents by Cu2+.
18801899-466	In addition, <mark style="background-color:lightblue;" id="6083">adenosine monophosphate</mark>-activated <mark style="background-color:lightgreen;" id="P00513,P25848">protein kinase</mark> levels were high during fasting and low during HF diet.
18801908-476	Previously we have shown that <mark style="background-color:lightblue;" id="77999">rosiglitazone</mark> has antiinflammatory actions not explicable by activation of <mark style="background-color:lightgreen;" id="O18924,O18971,O19052,O62807,O88275,P37231,P37234,P37238,P57797,Q4U3Q4">PPARgamma</mark> ,but possibly by the <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GR).
18801908-477	<mark style="background-color:lightblue;" id="77999">Rosiglitazone</mark> drives <mark style="background-color:lightgreen;" id="P08659,P13129,Q01158,Q26304,Q27757">luciferase</mark> expression from a simple glucocorticoid-response element containing reporter gene in a GR-dependent manner (EC50 4 microm), with a similar amplitude response to the partial GR agonist RU486.
18801909-478	To begin to understand the mechanisms for the <mark style="background-color:yellow;" id="GO:0007275,biological_process">development</mark> of acute <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> resistance, <mark style="background-color:lightblue;" id="5951">serine</mark> <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> of <mark style="background-color:lightgreen;" id="Q28516">insulin receptor</mark> substrate ( <mark style="background-color:lightgreen;" id="P41252,Q8BU30,Q9XTN2">IRS</mark> )-1 and c- <mark style="background-color:lightgreen;" id="P05627,P17325,P18289">Jun</mark> N-terminal kinase <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> /activation was investigated.
18760952-480	This paper investigates the effect of sterilisation by gamma irradiation (dose 2.5Mrad) on the following properties of <mark style="background-color:lightblue;" id="10401">polycaprolactone</mark> (PCL): (1) degradation rate (catalysed by <mark style="background-color:lightgreen;" id="Q7M4U7">lipase</mark> ), (2) mechanical properties, (3) the ability of cells to attach and subsequently grow on its surface.
18728222-493	<mark style="background-color:yellow;" id="GO:0016310,biological_process">Phosphorylation</mark> of <mark style="background-color:lightgreen;" id="Q28516">insulin receptor</mark> substrate ( <mark style="background-color:lightgreen;" id="P41252,Q8BU30,Q9XTN2">IRS</mark> ) proteins on <mark style="background-color:lightblue;" id="5951">serine</mark> residues has emerged as a key step in these control processes under both physiological and pathological conditions.
18789953-507	In hypersensitive alpha4L9'A mice, injections of a low dose of <mark style="background-color:lightblue;" id="942,89594,157672">nicotine</mark> (0.1 mg/kg) led to strong c- <mark style="background-color:lightgreen;" id="P01101,P12841,Q56415">fos</mark> expression in only the ventrolateral region of the <mark style="background-color:lightblue;" id="6122542">MHb</mark>, but not in the <mark style="background-color:lightblue;" id="6122542">MHb</mark> of wild-type (WT) mice.
18761103-512	We therefore propose <mark style="background-color:lightblue;" id="23978">copper</mark>-dependent homodimerization to be an essential step in the regulation of <mark style="background-color:lightgreen;" id="O00244,Q9TT99,Q9XT28">ATOX1</mark> -dependent <mark style="background-color:yellow;" id="GO:0006350,biological_process">transcription</mark> .
18785685-518	SNs and SMs were exposed to macrophages with and without addition of <mark style="background-color:lightblue;" id="53481793">endotoxin lipopolysaccharide</mark> (LPS), a positive inducer of <mark style="background-color:lightgreen;" id="Q8JFG3">tumor necrosis factor</mark> -alpha ( <mark style="background-color:lightgreen;" id="O35734,O77510,O77764,P01375,P04924,P06804,P13296,P16599,P19101,P23383,P23563,P29553,P33620,P36939,P48094,P51435,P51742,P51743,P59684,P59693,P59694,P59695,P79337,P79374,Q06599,Q19LH4,Q1G1A2,Q1WM27,Q2MH05,Q539C2,Q75N23,Q8HZD9,Q8JFG3,Q8MKG8,Q8WNR1,Q9BEA1">TNF-alpha</mark> ), <mark style="background-color:lightgreen;" id="P41693">interleukin 6</mark> ( <mark style="background-color:lightgreen;" id="O35736,P05231,P08505,P20607,P26892,P26893,P29455,P41323,P41683,P41693,P46650,P51494,P79341,Q25BC2,Q28319,Q28747,Q28819,Q2MH06,Q5I6E3,Q6V919,Q865W7,Q865X6,Q8MKH0,Q95181,Q9MZR1,Q9XT80">IL-6</mark> ), and <mark style="background-color:lightblue;" id="145068">nitric oxide</mark> (NO).
18728345-519	In contrast, <mark style="background-color:lightgreen;" id="Q14703,Q9WTZ2,Q9WTZ3,Q9Z2A8">SKI-1</mark> ( <mark style="background-color:lightgreen;" id="Q14703,Q9Z2A8">S1P</mark> or site-1) is a <mark style="background-color:yellow;" id="GO:0016020,cellular_component">membrane</mark> -bound <mark style="background-color:lightgreen;" id="P83290">serine protease</mark> inhibitable by <mark style="background-color:lightblue;" id="1701">AEBSF</mark>.
18728347-520	The progressive ankylosis gene ( <mark style="background-color:lightgreen;" id="P58366,Q9JHZ2">ank</mark> ) is a <mark style="background-color:lightgreen;" id="O12164,O41803,O42043,O56861,O70902,O71037,O89292,O91086,P03374,P03375,P03377,P03378,P03379,P03380,P03381,P03383,P03384,P03385,P03386,P03387,P03388,P03390,P03391,P03392,P03396,P03397,P03398,P03399,P04027,P04502,P04577,P04578,P04579,P04580,P04581,P04582,P04583,P04624,P05877,P05878,P05879,P05880,P05881,P05882,P05883,P05884,P05885,P05886,P06445,P06751,P06752,P07575,P08359,P08360,P08810,P0C212,P10259,P10267,P10269,P11261,P11267,P11268,P11306,P12449,P12487,P12488,P12489,P12492,P14075,P14351,P15073,P15831,P16082,P16090,P16899,P17281,P17755,P18040,P18094,P18799,P19030,P19503,P19549,P19550,P19551,P19556,P19557,P20871,P20872,P20888,P21412,P21415,P21436,P21443,P21445,P22380,P22427,P22428,P22429,P22430,P23064,P23073,P23422,P23423,P24105,P25057,P25504,P25505,P25506,P25507,P26803,P26804,P27399,P27757,P27977,P31621,P31626,P31627,P31789,P31791,P31794,P31796,P31819,P31872,P32536,P32541,P33498,P35954,P35961,P51515,P51519,P51520,P60507,P60508,P61550,P61552,P61553,P61554,P61555,P61556,P61557,P61558,P61559,P61561,P61562,P61563,P61564,P61565,P61566,P61567,P61570,Q02076,Q02077,Q02282,Q02837,Q03804,Q03816,Q03817,Q04993,Q04995,Q05312,Q09SZ7,Q0R5Q9,Q14264,Q1A243,Q1A261,Q69384,Q70626,Q73372,Q74126,Q75008,Q76638,Q77377,Q79670,Q85646,Q89607,Q8AIH5,Q8MIB6,Q902F8,Q902F9,Q96L62,Q9IDV2,Q9N2J8,Q9N2J9,Q9N2K0,Q9NX77,Q9Q714,Q9QBY2,Q9QBZ0,Q9QBZ4,Q9QBZ8,Q9QSQ7,Q9TTC0,Q9UKH3,Q9UQF0,Q9WC60,Q9WC69">transmembrane protein</mark> that <mark style="background-color:yellow;" id="GO:0006810,biological_process">transports</mark>  <mark style="background-color:yellow;" id="GO:0005622,cellular_component">intracellular</mark> <mark style="background-color:lightblue;" id="644102">pyrophosphate</mark> to the <mark style="background-color:yellow;" id="GO:0005576,cellular_component">extracellular</mark> milieu.
